id,name,sex,position,Derzeitige NGO,Partei
Zens,Norbert Zens,m,Aufsichtsrat,ADRA,0
Martins,Joao Martins,m,Aufsichtsrat,ADRA,0
Brito,Mario Brito,m,Aufsichtsrat,ADRA,0
Naether,Johannes Naether,m,Vorstand,ADRA,0
ADRA,AdventistischeEntwicklungsundKatastrophenhilfeADRADeutschlandeV,,,,
am,actionMedeor,,,,
arche,archenoVa,,,,
ASB,ArbeiterSamariterBund,,,,
BORDA,BORDA,,,,
care,care,,,,
cbm,ChristoffelBlindenmission,,,,
DAHW,DeutscheLepraundTuberkulosehilfee.V.,,,,
GTO,GermanToiletOrganization,,,,
help,HELPHilfezurSelbsthilfe,,,,
IOG,IngenieureohneGrenzen,,,,
JU,JohanniterUnfallhilfe.V,,,,
MI,MalteserInternational,,,,
PD,PlanDeutschland,,,,
ToG,TieraerzteohneGrenzen,,,,
VcA,VivaconAgua,,,,
WECF,WomenEngageForACommonFutureeV,,,,
WHH,Welthungerhilfe,,,,
WIN,WaterIntegrityNetwork,,,,
WRD,worldreliefDeutschland,,,,
WU,WashUnited,,,,
WV,WorldVision,,,,
