Id;name;type
MinistryEvSW;MinistryoftheEnvironment;4
DGIS;MinistryofForeignAffairsMinBuzaEuropeanCooperationNetherlands;4
MinistryForeign;MinistryofForeignAffairsMinBuzaDevelopmentCooperationNetherlands;4
MinistryofHousing;MinistryofHousingSpatialPlanningandtheEnvironmentVROMNetherlands;4
MUCKINGENIEURE;MUCKINGENIEURE;2
MusikgruppeShaymani;MusikgruppeShaymani;2
Nalco;NalcoDeutschlandGmbH;2
NatracareUK;NatracareUnitedKingdom;4
NextKraftwerke;NextKraftwerkeGmbH;2
Nickelodeon;Nickelodeon;2
Nivea;NiveaBeiersdorfAG;2
NORMA;NORMAGroupSE;2
OCHA;OCHAOfficefortheCoordinationofHumanitarianAffairs;4
Oertli;OertliInstrumenteAG;2
Olympus;OlympusEuropaSEundCoKG;2
Osthus;Osthus;2
OttoBockStiftung;OttoBockStiftung;2
OuiGruppe;OuiGruppeGmbHundCoKG;2
PapierMettler;PapierMettlerKG;2
Payback;Payback;2
PEJA;PEJACommissioneuropeenneFranceErasmusjeunesseFr;4
PERI;PERIGmbH;2
PFEIFER;PFEIFERHoldingGmbHunsCoKG;2
PI;PalladiumInternaional;2
Piepenbrock;Piepenbrock;2
PippaundJean;PippaundJean;2
PlanInternationalKinder;KinderhilfswerkPlanInternationaleV;2
PrittundHenkel;PrittundHenkel;2
PROMECON;PROMECONGmbH;2
ProvinceOverjissel;ProvinceOverjisseltheNetherlands;4
RBS;RBSTheRoyalBankofScotland;2
Rebelle;Rebelle;2
Reishunger;ReishungerGmbH;2
RocheDiabetes;RocheDiabetesCareDeutschland;2
RolfRonschke;RolfRonschkeGmbH;2
RotaryClubBadOrb;RotaryClubBadOrb;2
RotaryClubBiedenkopf;RotaryClubBiedenkopf;2
RotaryClubGrafschaftMoers;RotaryClubGrafschaftMoers;2
RoyalNetherlands;RoyalNetherlandsEmbassyinRomania;4
RTL;StiftungRTL;2
RundHUmwelt;RundHUmweltGmbH;2
Santander;SantanderConsumerBankAG;2
SchenkerDeutschland;SchenkerDeutschlandAG;2
schlaich;schlaichbergermannpartner;2
Schleicher;SchleicherBlechbearbeitungGmbH;2
Schwarzkopf;Schwarzkopf;2
SchweizerBotschaftB;SchweizerBotschatinBosnien;4
se;schweizerischeEidgenossenschaft;4
seneos;seneos;2
SIDA;SwedishInternaionalDevelopmentCooperaionAgency;4
Slido;Slido;2
SOFiSTiK;SOFiSTiKAGFiniteElementeundCADSoftware;2
SopraSteria;SopraSteria;2
SparkasseKrefeld;SparkasseKrefeld;2
Staedtler;StaedtlerGmbHundCoKG;2
STRATEC;STRATECBiomedicalAG;2
Sunshine;SunshineEnergieberatung;2
SWG;SashaWaltzundGuests;2
TAO;TAOTechnicalWear;2
Telekom;DeutscheTelekomAG;2
Theobroma;Theobroma;2
TheologischeHochschule;TheologischeHochschuleFriedensa;4
THW;BundesanstaltTechnischesHilfswerk;4
TransPack;TransPackStauereiundLadungssicherungGmbh;2
TueVRheinland;TueVRheinlandAG;2
TUI;TUIAG;2
ukaid;ukaid;4
UNDP;UnitedNationsDevelopmentProgramme;4
UNEP;UnitedNationsEnvironmentProgramme;4
UNFPA;WeltbevoelkerungsfondsderVereintenNationen;4
unhabitat;unhabitat;4
UNHCR;UNHCRdasFluechtlingshilfswerkderVereintenNationen;4
UNICEF;UNICEF;4
UNO;UNO;4
UNOCHA;UNOCHA;4
UNWater;UNWater;4
UPS;UPSFoundation;2
USAID;USAIDUnitedStatesAgencyforInternationalDevelopment;4
VDW;VerbandDeutscherWirtschaftsingenieureeV;2
VET;VETKonzept;2
VetConcept;VetConceptGmbHCoKG;2
Vincotech;Vincotech;2
Voelkel;Voelkel;2
VolksbankKrefeld;VolksbankKrefeld;2
VolksbankSchermbeck;VolksbankSchermbeck;2
WaterChannel;WaterChannelNetherlands;2
WaterManagementAustria;FederalMinistryforAgricultureForestryEnvironmentandWaterManagementAustria;4
Weihnachtsplaner;Weihnachtsplaner;2
Werbealm;Werbealm;2
WFB;WFBWirtschaftsfoerderungBremenGmbH;2
WFP;WFPWelternaehrungsprogrammderVereintenNationen;4
WHO;WorldHealthOrganisationWHOGenf;4
WITRON;WITRONLogistikundInformatikGmbH;2
WVN;WelternaehrungsprogrammderVereintenNationen;4
XING;XINGSE;2
YouGov;YouGov;2
ZEISS;ZEISSGroup;2
Zentiva;ZentivaPharmaGmbH;2
ZPP;ZPPIngenieureGmbH;2
soulproducts;soulproductsGmbH;2
Aveda;AvedaDivision;2
25hours;25hourshotels;2
DutchReliefAlliance;DutchReliefAlliance;4
AHC;AustralianHighCommission;4
DRL;TheBureauofDemocracyHumanRightsandLaborAffairs;4
am,Actionmedeor,1
arche,archenoVa,1
ASB,ArbeiterSamariterBund,3
BORDA,BORDABueroBremen,1
care,CARE,1
cbm,ChristoffelBlindenmission,1
DAHW,DeutscheLepraundTuberkulosehilfeeV,1
ADRA,AdventistischeEntwicklungsundKatastrophenhilfeADRADeutschlandeV,1
GTO,GermanToiletOrganization,1
help,HELPHilfezurSelbsthilfe,1
IOG,IngenieureohneGrenzen,1
JU,JohanniterUnfallhilfeeV,1
MI,MaltesterInternational,1
PD,PlanDeutschland,1
ToG,TieraerzteohneGrenzen,1
VcA,Vivaconagua,1
WECF,WomenEngageForACommonFutureeV,1
WHH,Welthungerhilfe,1
WIN,WaterIntegrityNetwork,1
WRD,worldreliefDeutschland,1
WV,WorldVision,1
