id,name,type
GIZ,DeutscheGesellschaftfuerinternationaleZusammenarbeit,3
GlobalFund,TheGlobalFund,3
GlobalFundFP,TheGlobalFundforForgottenPeople,3
goMatlab,goMatlabMeinMATLABForum,2
Google,Google,2
GoogleGrants,GoogleGrants,2
GreinerGmbH,GreinerGmbH,2
GTO,GermanToiletOrganization,1
GuentherBraunStiftung,GuentherBraunStiftungPforzheim,3
Haella,HaellaFoundation,3
HAMAP,HAMAPHumanitaire,3
HandelsverbandKrefeld,HandelsverbandKrefeldKempenViersen,3
Hanicap,HandicapInternationalFrankreich,3
HansenundSoehne,JosHansenundSoehneGmbH,2
Hapeko,HanseatischesPersonalkontorHapekoGmbH,2
HausDesStiftens,HausdesStiftensGmbH,2
HDL,HilfswerkderdeutschenLions,3
HealthCare,OttoBockHealthCareGmbH,2
HeinemannMedizin,GHeinemannMedizintechnikGmbH,2
HelmutUhrigStrassen,HelmutUhrigStrassenundTiefbauGmbH,2
HelmutundAnnelieseStiftung,HelmutundAnnelieseWeirichStiftungHamburg,3
help,HELPHilfezurSelbsthilfe,1
Helpball,Helpball,3
HeringManagement,HeringManagementGmbH,2
HermannKoberStiftung,HermannKoberStiftungWuerzburg,3
HITSitung,HITSitung,3
HMF,HundMFoundation,2
HyderConsulting,HyderConsultingGmbHDeutschland,2
IDEA,InternationalAssociationforIntegrationDignityandEconomicAdvancement,4
IGMMessen,IGMMessenGmbH,2
IKKG,InntalKabelKonfektionGmbH,2
ILA,InternationalLeprosyAssociationILAUSA,4
ILEP,InternationaleVereinigungderLeprahilfswerkeILEPGenf,4
IngenieurbueroFischer,IngenieurbueroFischer,2
Inros,InrosLacknerSE,2
InternationalLeprosyUnionILUIndien,InternationalLeprosyUnionILUIndien,4
Intewa,IntewaGmbH,2
InvaCon,InvaConGmbH,2
IOG,IngenieureohneGrenzen,1
IOM,InternationaleOrganisationfuerMigration,4
IPSystems,IPSystemsGmbH,2
Isar,IsarGetriebetechnikKG,2
IUATLD,InternationalUnionAgainstTuberculosisandLungDiseasesFrankreich,4
JOIN,JohanniterInternational,3
JU,JohanniterUnfallhilfeeV,1
Jungheinrich,JungheinrichAktiengesellschaft,2
JustaDrop,JustaDrop,3
Kaiser,KaiserBiobrotbaeckerei,2
Kauke,kaukeupGmbHundCoKG,2
KfW,KfWEntwicklungsbank,2
Kleindiek,KleindiekNanotechnikGmbH,2
KNCV,KoninklijkeNederlandseCentraleVerenigung,4
KnorrBremse,KnorrBremseAG,2
KrankenhausWaldfried,KrankenhausWaldfried,4
KWest,KWestGmbH,2
LachenHelfen,LachenHelfeneV,3
Lahmeyer,LahmeyerInternationalGmbH,2
Lausitzer,LausitzerWasserGmbHundCoKG,2
LBFLM,LandeskuratoriumBayernzurFoerderungderLeprahilfeMuenchen,4
LCIF,LionsClubsInternaionalFoundaion,3
LektoratGerlinde,LektoratGerlindeHaring,2
LeonhardAndrae,LeonhardAndraeundPartner,2
LeonhardWeiss,LeonhardWeissGmbHundCoKG,2
LEZ,LandesstellefuerEntwicklungszusammenarbeit,4
LikvidaceLepry,LikvidaceLepryTschechien,4
Lindenwirt,Lindenwirt,2
LMU,TropeninstitutderUniversitaetMuenchen,3
LRI,LeprosyResearchInitiativeLRI,4
LSA,LSAGmbHLeischnig,2
LUSH,LUSHGmbH,2
Lycka,Lycka,2
Madeleine,Madeleine,2
MagnaSteyr,MagnaSteyr,2
MALZWILZBeauty,MALZWILZBeautyGmbH,2
MarcCain,MarcCainGmbH,2
MerckFamily,MerckFamilyFoundation,2
Mestermacher,MestermacherBaeckerei,2
MI,MaltesterInternational,1
Milieukontakt,MilieukontaktInternationalFrance,3
Ministereetrangeres,MinisteredesAffairesEtrangeresetduDeveloppementInternationalFrance,4
MinistereJeunesse,MinisteredelaJeunesseetdesSportsFrance,4
MinistryEconocmic,MinistryofEconomicAffairsEZNetherlands,4
