id,name,nameall,sex,position,DerzeitigeNGO,Partei
Kopp,Kopp,Gudrun Kopp,2,5,help,5
JostenJanssen,JostenJanssen,Angelika JostenJanssen,2,5,help,8
Baust,Baust,Uwe Baust,1,4,help,8
Echtermeyer,Echtermeyer,Volker Echtermeyer,1,4,help,8
Heininger,Heininger,HansUlrich Heininger,1,4,help,8
Kelber,Kelber,Ulrich Kelber,1,4,help,3
Kersting,Kersting,HeinzJoachim Kersting,1,4,help,8
Klippert,Klippert,Bernd Klippert,1,4,help,8
LueckingMichel,LueckingMichel,Claudia LueckingMichel,2,4,help,1
Rolfes,Rolfes,KarlHeinz Rolfes,1,4,help,8
Sridharan,Sridharan,AshokAlexander Sridharan,1,4,help,1
Pastors,Pastors,Bernd Pastors,1,5,am,8
Bonsmann,Bonsmann,Christoph Bonsmann,1,5,am,8
Biermann,Biermann,Susanne Biermann,2,5,am,8
Thomassen,Thomassen,Siegfried Thomassen,1,3,am,8
Menn,Menn,Thomas Menn,1,3,am,8
Derix,Derix,Stefan Derix,1,3,am,8
Hochbruck,Hochbruck,Marlis Hochbruck,2,3,am,8
Viefers,Viefers,Ulrich Viefers,1,3,am,8
Optendrenk,Optendrenk,Marcus Optendrenk,1,8,am,1
Glimm,Glimm,Stefan Glimm,1,8,am,8
Koerber,Koerber,Manfred Koerber,1,8,am,8
Kindling,Kindling,Ullrich Kindling,1,8,am,8
Brockes,Brockes,Dietmar Brockes,1,8,am,5
Schummer,Schummer,Uwe Schummer,1,8,am,1
Fertmann,Fertmann,Marlis Fertmann,2,8,am,8
Schiefner,Schiefner,Udo Schiefner,1,8,am,3
Kofler,Kofler,Baerbel Kofler,2,8,am,3
Weinholt,Weinholt,Werner Weinholt,1,8,am,8
am,am,actionMedeor,3,10,,7
care,care,care,3,10,,7
help,help,HELPHilfezurSelbsthilfe,3,10,,7
PD,PD,PlanDeutschland,3,10,,7
WHH,WHH,Welthungerhilfe,3,10,,7
